,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-KMPL,highway-KMPL,price,horsepower-binned,diesel,gas,aspiration-std,aspiration-turbo
50,1,113.0,mazda,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,13.180272108843537,16.156462585034014,6695.0,low,0,1,1,0
51,1,113.0,mazda,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68.0,5000.0,13.180272108843537,16.156462585034014,7395.0,low,0,1,1,0
52,3,150.0,mazda,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,rotor,two,70,4bbl,3.3297512437810957,3.2554228855721337,9.4,101.0,6000.0,7.227891156462586,9.77891156462585,10945.0,low,0,1,1,0
53,3,150.0,mazda,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,rotor,two,70,4bbl,3.3297512437810957,3.2554228855721337,9.4,101.0,6000.0,7.227891156462586,9.77891156462585,11845.0,low,0,1,1,0
54,3,150.0,mazda,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2385,rotor,two,70,4bbl,3.3297512437810957,3.2554228855721337,9.4,101.0,6000.0,7.227891156462586,9.77891156462585,13645.0,low,0,1,1,0
55,3,150.0,mazda,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2500,rotor,two,80,mpfi,3.3297512437810957,3.2554228855721337,9.4,135.0,6000.0,6.802721088435375,9.77891156462585,15645.0,medium,0,1,1,0
56,1,129.0,mazda,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,11.054421768707483,13.60544217687075,8845.0,low,0,1,1,0
57,0,115.0,mazda,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,11.054421768707483,13.60544217687075,8495.0,low,0,1,1,0
58,1,129.0,mazda,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,11.054421768707483,13.60544217687075,10595.0,low,0,1,1,0
59,0,115.0,mazda,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,11.054421768707483,13.60544217687075,10245.0,low,0,1,1,0
60,0,122.0,mazda,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,ohc,four,122,idi,3.39,3.39,22.7,64.0,4650.0,15.306122448979593,17.857142857142858,10795.0,low,1,0,1,0
61,0,115.0,mazda,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,11.054421768707483,13.60544217687075,11245.0,low,0,1,1,0
62,0,118.0,mazda,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120.0,5000.0,8.078231292517007,11.479591836734695,18280.0,medium,0,1,1,0
63,0,122.0,mazda,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2700,ohc,four,134,idi,3.43,3.64,22.0,72.0,4200.0,13.180272108843537,16.581632653061224,18344.0,low,1,0,1,0
64,-1,93.0,mercedes-benz,four,sedan,rwd,front,110.0,190.9,70.3,56.5,3515,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,9.35374149659864,10.629251700680273,25552.0,medium,1,0,0,1
65,-1,93.0,mercedes-benz,four,wagon,rwd,front,110.0,190.9,70.3,58.7,3750,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,9.35374149659864,10.629251700680273,28248.0,medium,1,0,0,1
66,0,93.0,mercedes-benz,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,9.35374149659864,10.629251700680273,28176.0,medium,1,0,0,1
67,-1,93.0,mercedes-benz,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,9.35374149659864,10.629251700680273,31600.0,medium,1,0,0,1
68,-1,122.0,mercedes-benz,four,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,6.802721088435375,7.653061224489797,34184.0,medium,0,1,1,0
69,3,142.0,mercedes-benz,two,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,6.802721088435375,7.653061224489797,35056.0,medium,0,1,1,0
70,0,122.0,mercedes-benz,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184.0,4500.0,5.9523809523809526,6.802721088435375,40960.0,medium,0,1,1,0
71,1,122.0,mercedes-benz,two,hardtop,rwd,front,112.0,199.2,72.0,55.4,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184.0,4500.0,5.9523809523809526,6.802721088435375,45400.0,medium,0,1,1,0
72,1,122.0,mercury,two,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175.0,5000.0,8.078231292517007,10.204081632653061,16503.0,medium,0,1,0,1
73,2,161.0,mitsubishi,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,15.731292517006803,17.431972789115648,5389.0,low,0,1,1,0
74,2,161.0,mitsubishi,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,13.180272108843537,16.156462585034014,6189.0,low,0,1,1,0
75,2,161.0,mitsubishi,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,13.180272108843537,16.156462585034014,6669.0,low,0,1,1,0
76,1,161.0,mitsubishi,two,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500.0,10.204081632653061,12.755102040816327,7689.0,low,0,1,0,1
77,3,153.0,mitsubishi,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,9.77891156462585,12.755102040816327,9959.0,low,0,1,0,1
78,3,153.0,mitsubishi,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,10.629251700680273,13.60544217687075,8499.0,low,0,1,1,0
79,3,122.0,mitsubishi,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,ohc,four,156,spdi,3.58,3.86,7.0,145.0,5000.0,8.078231292517007,10.204081632653061,12629.0,medium,0,1,0,1
80,3,122.0,mitsubishi,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,8.078231292517007,10.204081632653061,14869.0,medium,0,1,0,1
81,3,122.0,mitsubishi,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,8.078231292517007,10.204081632653061,14489.0,medium,0,1,0,1
82,1,125.0,mitsubishi,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,10.629251700680273,13.60544217687075,6989.0,low,0,1,1,0
83,1,125.0,mitsubishi,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,10.629251700680273,13.60544217687075,8189.0,low,0,1,1,0
84,1,125.0,mitsubishi,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,9.77891156462585,12.755102040816327,9279.0,low,0,1,0,1
85,-1,137.0,mitsubishi,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,9.77891156462585,12.755102040816327,9279.0,low,0,1,1,0
86,1,128.0,nissan,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,13.180272108843537,15.731292517006803,5499.0,low,0,1,1,0
87,1,128.0,nissan,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,55.0,4800.0,19.13265306122449,21.258503401360546,7099.0,low,1,0,1,0
88,1,128.0,nissan,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,13.180272108843537,15.731292517006803,6649.0,low,0,1,1,0
89,1,122.0,nissan,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,13.180272108843537,15.731292517006803,6849.0,low,0,1,1,0
90,1,103.0,nissan,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,13.180272108843537,15.731292517006803,7349.0,low,0,1,1,0
91,1,128.0,nissan,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,13.180272108843537,15.731292517006803,7299.0,low,0,1,1,0
92,1,128.0,nissan,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,13.180272108843537,15.731292517006803,7799.0,low,0,1,1,0
93,1,122.0,nissan,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,13.180272108843537,15.731292517006803,7499.0,low,0,1,1,0
94,1,103.0,nissan,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,13.180272108843537,15.731292517006803,7999.0,low,0,1,1,0
95,2,168.0,nissan,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,13.180272108843537,15.731292517006803,8249.0,low,0,1,1,0
96,0,106.0,nissan,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,11.479591836734695,14.455782312925171,8949.0,low,0,1,1,0
97,0,106.0,nissan,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,11.479591836734695,14.455782312925171,9549.0,low,0,1,1,0
98,0,128.0,nissan,four,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,7.227891156462586,9.35374149659864,13499.0,medium,0,1,1,0
99,0,108.0,nissan,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,7.227891156462586,9.35374149659864,14399.0,medium,0,1,1,0
100,0,108.0,nissan,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,8.078231292517007,10.629251700680273,13499.0,medium,0,1,1,0
101,3,194.0,nissan,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160.0,5200.0,8.078231292517007,10.629251700680273,17199.0,medium,0,1,1,0
102,3,194.0,nissan,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200.0,5200.0,7.227891156462586,9.77891156462585,19699.0,high,0,1,0,1
103,1,231.0,nissan,two,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160.0,5200.0,8.078231292517007,10.629251700680273,18399.0,medium,0,1,1,0
104,0,161.0,peugot,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,8.078231292517007,10.204081632653061,11900.0,low,0,1,1,0
105,0,161.0,peugot,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,11.904761904761905,14.03061224489796,13200.0,low,1,0,0,1
106,0,122.0,peugot,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3230,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,8.078231292517007,10.204081632653061,12440.0,low,0,1,1,0
107,0,122.0,peugot,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,10.629251700680273,10.629251700680273,13860.0,low,1,0,0,1
108,0,161.0,peugot,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,2.19,8.4,95.0,5000.0,8.078231292517007,10.204081632653061,15580.0,low,0,1,1,0
109,0,161.0,peugot,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,11.904761904761905,14.03061224489796,16900.0,low,1,0,0,1
110,0,122.0,peugot,four,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,l,four,120,mpfi,3.46,2.19,8.4,95.0,5000.0,8.078231292517007,10.204081632653061,16695.0,low,0,1,1,0
111,0,122.0,peugot,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,10.629251700680273,10.629251700680273,17075.0,low,1,0,0,1
112,0,161.0,peugot,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,8.078231292517007,10.204081632653061,16630.0,low,0,1,1,0
113,0,161.0,peugot,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,11.904761904761905,14.03061224489796,17950.0,low,1,0,0,1
114,0,161.0,peugot,four,sedan,rwd,front,108.0,186.7,68.3,56.0,3130,l,four,134,mpfi,3.61,3.21,7.0,142.0,5600.0,7.653061224489797,10.204081632653061,18150.0,medium,0,1,0,1
115,1,119.0,plymouth,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,15.731292517006803,17.431972789115648,5572.0,low,0,1,1,0
116,1,119.0,plymouth,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500.0,10.204081632653061,12.755102040816327,7957.0,low,0,1,0,1
117,1,154.0,plymouth,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,13.180272108843537,16.156462585034014,6229.0,low,0,1,1,0
118,1,154.0,plymouth,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,13.180272108843537,16.156462585034014,6692.0,low,0,1,1,0
119,1,154.0,plymouth,four,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68.0,5500.0,13.180272108843537,16.156462585034014,7609.0,low,0,1,1,0
120,-1,74.0,plymouth,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,10.204081632653061,12.755102040816327,8921.0,low,0,1,1,0
121,3,122.0,plymouth,two,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,8.078231292517007,10.204081632653061,12764.0,medium,0,1,0,1
122,3,186.0,porsche,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143.0,5500.0,8.078231292517007,11.479591836734695,22018.0,medium,0,1,1,0
123,3,122.0,porsche,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207.0,5900.0,7.227891156462586,10.629251700680273,32528.0,high,0,1,1,0
124,3,122.0,porsche,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207.0,5900.0,7.227891156462586,10.629251700680273,34028.0,high,0,1,1,0
